#SampleID	Metaphlan2_Analysis
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	0.1975
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname	0.19349
k__Eukaryota|p__Ascomycota|c__Sordariomycetes	0.19208
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname	0.18209
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	0.1405
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.1323
k__Bacteria|p__Deferribacteres|c__Deferribacteres	0.12317
k__Eukaryota|p__Apicomplexa|c__Coccidia	0.12076
k__Bacteria|p__Bacteria_noname|c__Bacteria_noname	0.11727
k__Bacteria|p__Chloroflexi|c__Chloroflexi	0.10752
k__Bacteria|p__Nitrospirae|c__Nitrospira	0.10725
k__Eukaryota|p__Microsporidia|c__Microsporidia_noname	0.10418
k__Bacteria|p__Marinimicrobia|c__Marinimicrobia_noname	0.10126
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	0.0986
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.09447
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.09414
k__Eukaryota|p__Basidiomycota|c__Agaricomycetes	0.09264
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.08928
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	0.08755
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0.07976
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.07762
k__Eukaryota|p__Ascomycota|c__Dothideomycetes	0.07617
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.06779
k__Bacteria|p__Nitrospinae|c__Nitrospinia	0.05956
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	0.05535
k__Bacteria|p__Poribacteria|c__Poribacteria_noname	0.05462
k__Eukaryota|p__Eukaryota_noname|c__Oligohymenophorea	0.04255
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria	0.04227
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	0.0397
k__Eukaryota|p__Ascomycota|c__Leotiomycetes	0.03969
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia	0.03925
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes	0.03874
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	0.0354
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname	0.03461
k__Bacteria|p__Cloacimonetes|c__Cloacimonetes_noname	0.02294
k__Bacteria|p__Acidobacteria|c__Holophagae	0.0221
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname	0.02192
k__Eukaryota|p__Ascomycota|c__Pezizomycetes	0.02156
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0.02098
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes	0.02088
k__Archaea|p__Korarchaeota|c__Korarchaeota_noname	0.02041
k__Bacteria|p__Firmicutes|c__Firmicutes_noname	0.01994
k__Eukaryota|p__Eukaryota_noname|c__Heterolobosea	0.0199
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	0.01981
k__Archaea|p__Euryarchaeota|c__Methanopyri	0.0195
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0.0193
k__Bacteria|p__Chloroflexi|c__Anaerolineae	0.01929
k__Bacteria|p__Caldiserica|c__Caldisericia	0.01899
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	0.01894
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae	0.01874
k__Eukaryota|p__Basidiomycota|c__Ustilaginomycetes	0.0186
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	0.01859
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	0.01857
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.01843
k__Bacteria|p__Acidobacteria|c__Solibacteres	0.01821
k__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes	0.01813
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname	0.01796
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeota_noname	0.01792
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	0.01789
k__Archaea|p__Archaea_noname|c__Archaea_noname	0.01784
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	0.01771
k__Bacteria|p__Chloroflexi|c__Caldilineae	0.01707
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	0.01557
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	18.53356
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	6.89971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	4.94278
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	4.03229
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	3.99904
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3.84237
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	3.21648
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2.94257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	2.68109
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	2.43132
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2.25799
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2.05167
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	1.93287
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	1.83966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	1.77772
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	1.46129
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales	1.44504
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales	1.4399
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1.42244
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1.11267
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.99438
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	0.90759
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.88387
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.86813
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.83071
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.74642
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0.67475
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	0.65664
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0.63771
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.61482
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	0.60865
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.60242
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales	0.5939
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales	0.56959
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.55379
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.5375
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.51544
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.48129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_noname	0.47895
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.47828
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_noname	0.47155
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.46315
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.43197
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	0.42411
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Nidovirales	0.40135
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.39977
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.38043
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.34383
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	0.34271
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0.33574
k__Viroids|p__Viroids_noname|c__Viroids_noname|o__Viroids_noname	0.29689
k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales	0.29571
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	0.28881
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	0.28633
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales	0.28229
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Thermales	0.27867
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	0.27238
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0.26802
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales	0.26147
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	0.25489
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Prochlorales	0.25134
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	0.24685
k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	0.24356
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	0.23834
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.22308
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	0.22244
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0.22226
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0.21092
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	0.20893
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	0.20872
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	0.20707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	0.20418
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	0.19989
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.19183
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Haemosporida	0.18531
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_noname	0.18321
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	0.18239
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	0.18144
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales	0.16756
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Zetaproteobacteria_noname	0.15958
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	0.15438
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0.1506
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Deltaproteobacteria_noname	0.14174
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname|o__Verrucomicrobia_noname	0.13698
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	0.13594
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Entomoplasmatales	0.12942
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	0.12317
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida	0.12076
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Sordariales	0.1162
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	0.10725
k__Eukaryota|p__Microsporidia|c__Microsporidia_noname|o__Microsporidia_noname	0.10418
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	0.10166
k__Bacteria|p__Marinimicrobia|c__Marinimicrobia_noname|o__Marinimicrobia_noname	0.10126
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname	0.0986
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0.09757
k__Bacteria|p__Bacteria_noname|c__Bacteria_noname|o__Bacteria_noname	0.09731
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Stigonematales	0.09476
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0.09447
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.09414
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Chloroflexales	0.09007
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.08928
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	0.08755
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	0.07976
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Pleurocapsales	0.07707
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidithiobacillales	0.07631
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Kinetoplastida	0.07627
k__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	0.07362
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_noname	0.07326
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_Order_II_Incertae_sedis	0.07287
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.06779
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales	0.06329
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Epsilonproteobacteria_noname	0.06277
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriia_noname	0.06125
k__Bacteria|p__Nitrospinae|c__Nitrospinia|o__Nitrospinales	0.05956
k__Eukaryota|p__Apicomplexa|c__Aconoidasida|o__Aconoidasida_noname	0.05952
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_noname	0.05942
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	0.05745
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutae_noname	0.05731
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	0.05658
k__Bacteria|p__Poribacteria|c__Poribacteria_noname|o__Poribacteria_noname	0.05462
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales	0.05407
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	0.05239
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	0.05136
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	0.04743
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname|o__Methylacidiphilales	0.0451
k__Bacteria|p__Ignavibacteriae|c__Ignavibacteria|o__Ignavibacteriales	0.04227
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	0.04144
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Dictyosteliida	0.04126
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales	0.0408
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Thaumarchaeota_noname	0.03994
k__Eukaryota|p__Ascomycota|c__Leotiomycetes|o__Helotiales	0.03969
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	0.03948
k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	0.03925
k__Eukaryota|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales	0.03874
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	0.03872
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Eukaryota_noname	0.03841
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	0.03792
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	0.03634
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	0.0354
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Acidimicrobiales	0.03512
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname	0.03461
k__Bacteria|p__Cloacimonetes|c__Cloacimonetes_noname|o__Cloacimonetes_noname	0.02294
k__Bacteria|p__Acidobacteria|c__Holophagae|o__Holophagales	0.0221
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname	0.02192
k__Eukaryota|p__Eukaryota_noname|c__Oligohymenophorea|o__Hymenostomatida	0.02191
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	0.02169
k__Eukaryota|p__Ascomycota|c__Pezizomycetes|o__Pezizales	0.02156
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Rubrobacterales	0.02112
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0.02098
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	0.02088
k__Eukaryota|p__Eukaryota_noname|c__Oligohymenophorea|o__Peniculida	0.02064
k__Archaea|p__Korarchaeota|c__Korarchaeota_noname|o__Korarchaeota_noname	0.02041
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	0.02031
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales	0.02008
k__Bacteria|p__Bacteria_noname|c__Bacteria_noname|o__Haloplasmatales	0.01996
k__Bacteria|p__Firmicutes|c__Firmicutes_noname|o__Firmicutes_noname	0.01994
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Fervidicoccales	0.01991
k__Eukaryota|p__Eukaryota_noname|c__Heterolobosea|o__Schizopyrenida	0.0199
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae|o__Coscinodiscophyceae_noname	0.01981
k__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Capnodiales	0.01959
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales	0.01957
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	0.01951
k__Archaea|p__Euryarchaeota|c__Methanopyri|o__Methanopyrales	0.0195
k__Eukaryota|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	0.01946
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	0.01942
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Cenarchaeales	0.0193
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Lentisphaerales	0.0193
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	0.01929
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	0.0192
k__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Polyporales	0.01902
k__Bacteria|p__Caldiserica|c__Caldisericia|o__Caldisericales	0.01899
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobia_noname	0.01898
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	0.01894
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Trichomonadida	0.01889
k__Eukaryota|p__Bacillariophyta|c__Bacillariophyceae|o__Naviculales	0.01874
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	0.01873
k__Eukaryota|p__Eukaryota_noname|c__Eukaryota_noname|o__Perkinsida	0.01865
k__Eukaryota|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	0.0186
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	0.01859
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria|o__Spartobacteria_noname	0.01857
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0.01843
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	0.01821
k__Eukaryota|p__Basidiomycota|c__Exobasidiomycetes|o__Malasseziales	0.01813
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidia_noname	0.018
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrososphaerales	0.01796
k__Bacteria|p__Chloroflexi|c__Chloroflexi_noname|o__Chloroflexi_noname	0.01796
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	0.01796
k__Archaea|p__Nanoarchaeota|c__Nanoarchaeota_noname|o__Nanoarchaeota_noname	0.01792
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	0.01789
k__Archaea|p__Archaea_noname|c__Archaea_noname|o__Archaea_noname	0.01784
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	0.01771
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales	0.01745
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	0.01707
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	0.01663
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	0.01632
k__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	0.01557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	2.68109
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	2.61596
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2.03607
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	1.8598
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	1.76965
